speaker,words,tags,timestamp
Helen,Yes.,,[11:54]
Maria,Wow.,,[11:54]
Helen,"Yes, and we, most of my brothers and sisters lived, we lived within a 10-mile radius, most of us. A few moved as the years went on.",,[11:55]
Maria,Right.,,[12:07]
Helen,"So on Saturday night, my parents loved to play poker. And it would be whoever showed up. And New Year's Eve, my husband and I probably only went out New Year's Eve maybe six times. We went to my mom and dad's house every New Year's Eve to spend it with them and play cards. And again, whatever brother and sister-in-law weren't going out, they'd show up and you just never knew how many or who. And that was, that was how our life was. And we loved it.",heritage,[12:08]
Maria,"Wow. That's, you know, an amazing image to, to envision, all those folks around the table.",,[12:47]
Helen,Yeah.,,[12:56]
Maria,"Do you happen to know where, what part of Italy your dad and your grandmother were from?",,[12:56]
Helen,"My dad was from Gessopalena, which is, I wrote this down, um. I thought I wrote it down, anyway. But it's like on the west side of Italy and a little bit north.",,[13:04]
Maria,And a little bit more--,,[13:18]
Helen,"A small little town. It is still there. It's still a town there. And, um, his, his dad was also born there. He was born in 1857. And his dad died in 1943. And--",,[13:19]
Maria,And was he in Italy? Did he stay in Italy?,,[13:39]
Helen,"Never left Italy, um. He had, he had one, he was married and had a daughter. And then that girl d-, the mother died. And then he remarried again and had three sons and that's where my father came in, the three sons.",,[13:44]
Maria,Got you.,,[14:03]
Helen,"And then, um, his father in Italy, he, he, um, he was a tinsmith and he also, but he had grapes. And it was the typical Italian family also, um. He had o-, he had olive trees also. But, um. So he died in 1943. And I can remember my father getting a letter from Italy, saying that his father died. Because my father never went back. Once he left Italy, he never went back. And then when I was in ninth grade, this was interesting, when I was in ninth grade, my father brought one of his nephews to America. He was married and had two children, but the nephew himself had to come first. And he had to have a, a job and he lived with us. And it was the first relative of my dad's that we ever met. Because we never saw any of them.","family, migration",[14:03]
Maria,"So when your dad left Italy, he left behind his dad and his siblings as well--",,
Helen,"Brothers, yeah.",,
Maria,-- and came alone as a young man to America.,,[15:21]
Helen,"Yes. And he, he ended up in Philly. He came in to, um, New York, on the ship. And then he had friends in Philly, so he took the train to Philly. And he didn't like it. And, um, my, my mother and father was very active still in the Malvern area with farming and that type of stuff, cattle. So, my father learned to be a tinsmith in Philly and a barber in Philly. And then went out to the country, which is what they call it, where we were, because it was country. And he, he worked there and then finally got a job. But he never gave up the barbering. He always did the barbering, because it was an enjoyment for him, too. He was open seven days a week. 		MT>> Wow.",,[15:26]
Helen,"So the, the farmers, they could work till 10:00 and they knew if they showed up at night, 10:00, my father would cut their hair. And, uh, so he just loved America. And when his nephew came, he was so proud to be able to show him Philadelphia. I mean, my father never went to the beach or anything like that. His vacation in the summer, they got a week vacation, and my father would take the train from Paoli, Pennsylvania to Philly. He would go to Horn & Hardart's, which was an old restaurant back in the day where you, you, you got your food out of these little compartments. And he would buy his barbering supplies that he would need. He might go to a movie. He would take one child with him each time he went. And I was so excited when I was picked. I was like 10 years old. And I went to Philly with my dad. I mean, it was so exciting. And then he would come home and he would be home by 3:30 because he had to open the barber shop.",,[16:23]
Maria,Right.,,[17:40]
Helen,So that was his one-day vacation.,,[17:41]
Maria,"Wow. Wow. How wonderful that you remember that, that day.",,[17:44]
Helen,"Yeah, yeah. It was just really special because that was what he did once a year.",,[17:48]
Maria,Right.,,[17:54]
Helen,"That was his main day, this vacation day. And in the community, um, there w-, we had a little, um, well, we, we found out in later years that it was the Republican Club, but they didn't call it that then. And, um, the company that he worked for, Warner Company, they would have a turkey raffle, they would have Santa Claus. They would bring in somebody in the winter to do show movies. So they tried to keep their employees' children occupied, somehow, at least two or three times a year. Weddings were held there, whenever there was a wedding. They had bocce which Italian men play all the time. So that was always open Saturday and Sunday for the men. I mean, the wives and the kids weren't allowed to go there, but, um -.",,[17:54]
Maria,"So, it really, it was exclusively for the men. The wives and the, and the children would not attend--",,[18:51]
Helen,"On Saturdays and Sundays, yeah. They didn't play bocce or walk into a bar. Oh, no, no, no, no.",,[18:57]
